Channing Frye,F-C,9.5,0.786,0.504,3.6,1.4,0.6,0.17,0.14
Markelle Fultz,G,22.5,0.568,0.432,8.2,3.6,3.1,0.95,0.26
Danilo Gallinari,F,30.3,0.904,0.554,19.8,6.1,2.6,0.72,0.34
Langston Galloway,G,21.8,0.844,0.503,8.4,2.1,1.1,0.46,0.1
Billy Garrett,G,15.9,1,0.407,6.5,0.8,1.8,0.25,0.25
Marc Gasol,C,33.7,0.756,0.499,15.7,8.6,4.7,1.13,1.21
Marc Gasol,C,24.9,0.769,0.527,9.1,6.7,3.9,0.92,0.88
Pau Gasol,C-F,12.2,0.711,0.494,4.2,4.7,1.9,0.19,0.52
Pau Gasol,C-F,10.1,0.5,0.25,1.3,3.3,0.7,0,0.33
Rudy Gay,F,26.7,0.816,0.554,13.7,6.8,2.6,0.78,0.49
Paul George,F,36.9,0.84,0.529,28,8.1,4.1,2.21,0.44
Taj Gibson,F,24.1,0.757,0.576,10.8,6.5,1.2,0.76,0.56
Harry Giles III,F-C,14.1,0.637,0.503,7,3.8,1.5,0.53,0.38
Shai Gilgeous-Alexander,G,26.5,0.8,0.512,10.8,2.8,3.3,1.18,0.55
Rudy Gobert,C,31.8,0.636,0.669,15.9,12.8,2,0.81,2.3
Brandon Goodwin,G,3.6,0.818,0.304,1.4,0.2,0.9,0,0
Aaron Gordon,F,33.8,0.731,0.507,16,7.3,3.7,0.73,0.72
Eric Gordon,G,31.7,0.783,0.525,16.2,2.2,1.9,0.6,0.4
Marcin Gortat,C,16,0.729,0.532,5,5.6,1.4,0.13,0.51
Devonte' Graham,G,14.7,0.761,0.421,4.7,1.4,2.6,0.5,0.04
Treveon Graham,F,20.4,0.818,0.435,5.3,3,1,0.37,0.2
Donte Grantham,F,0.8,0,0,0,0,0,0,0
Jerami Grant,F,32.7,0.71,0.567,13.6,5.2,1,0.76,1.25
Jerian Grant,G,15.6,0.65,0.509,4.2,1.7,2.6,0.73,0.1
Danny Green,G-F,27.7,0.841,0.623,10.3,4,1.6,0.91,0.66
Draymond Green,F,31.3,0.692,0.501,7.4,7.3,6.9,1.44,1.08
Gerald Green,G-F,20.2,0.838,0.535,9.2,2.5,0.5,0.45,0.37
JaMychal Green,F,21.9,0.788,0.545,9.8,6.1,0.9,0.8,0.63
JaMychal Green,F,19.6,0.81,0.582,8.7,6.6,0.6,0.46,0.33
Jeff Green,F,27.2,0.888,0.555,12.3,4,1.8,0.56,0.52
Blake Griffin,F,35,0.753,0.532,24.5,7.5,5.4,0.69,0.37
Daniel Hamilton,G-F,10.7,0.5,0.45,3,2.5,1.2,0.32,0.05
Dusty Hannahs,G,13,1,0.25,4,0.5,2.5,0.5,0
Tim Hardaway Jr.,G,32.6,0.854,0.469,19.1,3.5,2.7,0.91,0.13
Tim Hardaway Jr.,G,29.3,0.767,0.489,15.5,3.2,1.9,0.58,0.11
James Harden,G,36.8,0.879,0.541,36.1,6.6,7.5,2.05,0.73
Maurice Harkless,F,23.6,0.671,0.53,7.7,4.5,1.2,1.12,0.92
Montrezl Harrell,F-C,26.3,0.643,0.617,16.6,6.5,2,0.85,1.34
Devin Harris,G,15.7,0.761,0.47,6.3,1.6,1.8,0.51,0.24
Gary Harris,G,28.8,0.799,0.489,12.9,2.8,2.2,0.96,0.33
Joe Harris,G-F,30.2,0.827,0.621,13.7,3.9,2.4,0.49,0.22
Andrew Harrison,G,4.5,0,0.5,2,0,0,0,0
Andrew Harrison,G,14.4,1,0.346,4.3,1.5,1.7,0.4,0.2
Andrew Harrison,G,6.3,0.5,0.333,1.5,0.8,1.2,0,0
Shaquille Harrison,G,19.6,0.667,0.46,6.5,3,1.9,1.22,0.41
Tobias Harris,F,34.6,0.877,0.562,20.9,7.8,2.7,0.73,0.44
Tobias Harris,F,35,0.841,0.524,18.2,7.9,2.9,0.41,0.48
Isaiah Hartenstein,F-C,7.9,0.786,0.512,1.9,1.7,0.5,0.25,0.43
Josh Hart,G,25.6,0.688,0.506,7.8,3.7,1.4,0.96,0.6
Udonis Haslem,F,7.5,0.75,0.333,2.5,2.7,0.2,0,0
Gordon Hayward,F,25.9,0.834,0.527,11.5,4.5,3.4,0.82,0.32
John Henson,F,13.5,0.6,0.545,5.6,5.1,1,0.5,0.79
Juancho Hernangomez,F,19.4,0.767,0.546,5.8,3.8,0.8,0.39,0.36
Willy Hernangomez,C,14,0.694,0.542,7.3,5.4,1,0.28,0.36
Mario Hezonja,F,20.8,0.763,0.457,8.8,4.1,1.5,0.98,0.14
Isaiah Hicks,F,10.8,0.8,0.5,4,2.3,0.7,0.33,1
Buddy Hield,G,31.9,0.886,0.56,20.7,5,2.5,0.71,0.39
Haywood Highsmith,F,8,0,0.45,1.8,1,0.4,0.2,0
George Hill,G,26.5,0.85,0.575,10.8,2.1,2.8,0.92,0.08
George Hill,G,20.4,0.815,0.493,6.8,2.6,2.1,0.83,0.15
Solomon Hill,F,20,0.719,0.472,4.3,3,1.3,0.52,0.23
Aaron Holiday,G,12.9,0.82,0.483,5.9,1.3,1.7,0.4,0.26
Jrue Holiday,G,35.8,0.768,0.523,21.2,5,7.7,1.64,0.81
Justin Holiday,G,34.9,0.891,0.506,11.6,4.4,2.2,1.74,0.58
Justin Holiday,F-G,29.1,0.9,0.474,9.5,3.5,1.4,1.23,0.34
John Holland,G,0.7,0,,0,0,0,0,0
Rondae Hollis-Jefferson,F,20.9,0.645,0.42,8.9,5.3,1.6,0.75,0.46
Richaun Holmes,F-C,16.9,0.731,0.608,8.2,4.7,0.9,0.6,1.13
Rodney Hood,G,27.4,0.912,0.488,12.2,2.5,2,0.84,0.11
Rodney Hood,G,24.4,0.805,0.518,9.6,1.6,1.3,0.81,0.22
Al Horford,F-C,29,0.825,0.586,13.6,6.7,4.1,0.85,1.26
Danuel House Jr.,F-G,25.1,0.789,0.615,9.4,3.6,1,0.54,0.28
Dwight Howard,C,25.5,0.604,0.623,12.8,9.2,0.4,0.78,0.44
